TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
193945,False,3.100619,0.001652,0.0,0.0
193950,False,1.673148,1.291282,1.159979,1.230035
193999,True,1.074509,1.110225,1.148349,1.139541
194093,False,2.306333,2.238204,2.164501,2.165396
194155,False,2.317275,2.253688,2.24543,2.231322
194227,False,1.142018,1.110775,1.148831,1.139954
194227,False,1.376959,1.160874,1.281923,1.206913
194244,False,1.209734,1.110775,1.1489,1.140298
194258,False,1.074302,1.110225,1.14828,1.139334
194284,False,1.912424,1.707487,1.576253,1.664821
194305,False,1.074509,1.110293,1.148418,1.139334
194512,False,2.682624,2.618693,2.685721,2.699829
194602,False,1.074509,1.110431,1.148212,1.139265
194614,False,1.77135,1.479772,1.175738,1.217648
194668,False,1.39554,1.111532,1.148487,1.139472
194675,False,1.074509,1.110225,1.148212,1.139403
194758,False,1.074577,1.110293,1.14828,1.139197
194945,False,0.0,0.001101,0.0,0.0
194995,False,1.074509,1.110293,1.148143,1.139472
194999,True,1.074509,1.110156,1.148143,1.139334
195020,False,2.000441,1.820003,1.622774,1.746025
195054,False,1.074509,1.110362,1.14828,1.139472
195062,False,1.074509,1.110156,1.148005,1.139334
195118,False,1.110156,1.110706,1.148143,1.139334
195199,False,1.074371,1.110362,1.14828,1.139334
195206,False,1.075266,1.110293,1.148349,1.139472
195248,False,1.531798,1.115042,1.148693,1.140022
195308,False,1.07444,1.110293,1.148212,1.139472
195544,False,1.074853,1.110156,1.148212,1.139403
195561,False,1.55141,1.115042,1.1489,1.140298
195646,False,2.019848,1.851521,1.662619,1.784012
195705,False,2.347004,2.297662,2.323881,2.288096
195713,False,1.104857,1.111188,1.148487,1.139403
195725,False,1.848149,1.64858,1.601922,1.595316
195820,False,1.074646,1.110293,1.148212,1.139334
195838,False,1.952614,1.66661,1.458783,1.661999
195854,False,1.074784,1.110225,1.148143,1.139541
195916,False,1.943461,1.796743,1.535651,1.588847
195943,False,1.074577,1.110362,1.148212,1.139403
195945,False,0.284627,0.001445,0.0,0.0
195988,False,1.07444,1.110293,1.14828,1.139403
195989,False,1.09653,1.114973,1.159016,1.145115
195999,True,1.07444,1.110156,1.148212,1.139334
196012,False,1.074646,1.110156,1.14828,1.139334
196110,False,1.074577,1.110225,1.148005,1.139334
196133,False,1.074509,1.110293,1.148212,1.139334
196186,False,2.043658,1.92956,1.794541,1.855306
196212,False,1.074509,1.110362,1.148143,1.139403
196252,False,1.709621,1.229622,1.18785,1.300297
196323,False,1.074509,1.110156,1.148349,1.139265
196327,False,2.163262,2.053843,1.915108,1.947108
196355,False,2.33035,2.26752,2.285688,2.277361
196357,False,2.592887,2.5293,2.485945,2.479064
196395,False,1.074646,1.110293,1.148349,1.139403
196618,False,1.07499,1.110362,1.148212,1.139472
196665,False,1.102792,1.110844,1.148349,1.139541
196723,False,1.412125,1.13548,1.148831,1.13961
196795,False,2.310806,2.264492,2.238066,2.205722
196814,False,1.855994,1.663445,1.7463,1.429329
196910,False,1.074715,1.1105,1.14828,1.139403
196945,False,0.744875,0.001376,0.0,0.0
196992,False,2.084673,1.916141,1.936097,2.005809
196999,True,1.074577,1.110431,1.148349,1.139334
197020,False,2.375907,2.306677,2.25355,2.240613
197029,False,1.251162,1.111326,1.148349,1.139541
197160,False,1.075403,1.110706,1.14828,1.139334
197161,False,2.250522,2.176682,2.123417,2.160647
197228,False,1.074509,1.110362,1.148487,1.139403
197285,False,1.074577,1.110293,1.148143,1.139403
197316,False,1.074577,1.110225,1.14828,1.139334
197429,False,2.479339,2.424836,2.322987,2.304613
197442,False,2.174411,2.057284,1.916072,1.951857
197467,False,1.074922,1.110362,1.14828,1.139334
197489,False,1.078087,1.110569,1.148212,1.139334
197612,False,1.074646,1.110293,1.14828,1.139403
197618,False,1.07444,1.110225,1.148349,1.139334
197629,False,2.086807,1.948622,1.815943,1.883452
197704,False,2.454771,2.377352,2.419812,2.418298
197751,False,2.152665,1.999478,2.175374,2.125275
197772,False,1.074577,1.110362,1.148143,1.139472
197782,False,1.712649,1.415359,1.148969,1.140229
197801,False,1.103549,1.110706,1.148418,1.13961
197810,False,1.074646,1.110225,1.14828,1.139197
197824,False,1.074784,1.110293,1.148349,1.139265
197859,False,1.074922,1.110293,1.148212,1.139472
197871,False,1.787453,1.531591,1.155506,1.145665
197885,False,1.07444,1.110087,1.148074,1.139265
197899,False,2.006566,1.847117,1.724485,1.816562
197945,False,0.845623,0.001858,0.0,0.0
197999,False,2.149017,2.085499,2.093482,2.011452
197999,True,1.191566,1.582997,1.301398,1.546937
198077,False,1.076023,1.1105,1.148349,1.13961
198094,False,1.074509,1.110225,1.148143,1.139334
198127,False,1.074509,1.110362,1.148074,1.139334
198147,False,2.05054,1.892468,1.66372,1.768184
198170,False,1.958876,1.811401,1.526636,1.573294
198178,False,1.075197,1.110293,1.148005,1.139678
198263,False,2.505283,2.402608,2.326496,2.325602
198271,False,2.463098,2.416096,2.443485,2.413963
198276,False,1.97436,1.846085,1.801423,1.824683
198335,False,1.075197,1.110362,1.148074,1.139472
198361,False,2.413756,2.392905,2.351339,2.299245
198397,False,1.074646,1.110293,1.148005,1.139334
198466,False,1.074715,1.110156,1.148212,1.139403
198512,False,2.17214,2.060106,1.980691,2.027762
198526,False,1.844571,1.636262,1.201889,1.22219
198532,False,1.652021,1.266783,1.149106,1.141055
198534,False,1.500555,1.112496,1.201958,1.226938
198576,False,1.074577,1.110156,1.148143,1.139472
198655,False,1.074509,1.110362,1.14828,1.139403
198855,False,1.074509,1.110087,1.148418,1.139334
198871,False,2.933462,2.897127,2.749927,2.743114
198903,False,2.283004,2.159546,2.218798,2.218454
198945,False,1.201201,0.001652,0.0,0.0
198999,True,1.074577,1.110293,1.14828,1.139265
199007,False,1.858128,1.656356,1.217717,1.227145
199028,False,1.07444,1.110156,1.148212,1.139403
199177,False,1.074715,1.110293,1.14828,1.139403
199302,False,2.340879,2.323262,2.270204,2.211021
199334,False,1.093571,1.110569,1.14828,1.139541
199480,False,1.074646,1.110225,1.14828,1.139541
199650,False,1.075403,1.110362,1.148212,1.139472
199674,False,1.466284,1.114216,1.148693,1.139954
199698,False,1.411437,1.113321,1.1489,1.140298
199766,False,2.266488,2.206135,2.202488,2.180054
199774,False,1.074577,1.110293,1.148212,1.139472
199784,False,3.288489,3.193315,3.093737,3.147621
199795,False,1.07561,1.110362,1.148074,1.139472
199945,False,1.536684,0.000963,0.0,0.0
199960,False,1.340762,1.128117,1.1489,1.140022
199999,True,1.074577,1.110225,1.148074,1.139403
200026,False,2.706435,2.659089,2.624199,2.615184
200037,False,1.946764,1.727788,1.46711,1.637432
200097,False,1.900519,1.754421,1.692761,1.750704
200111,False,1.074646,1.110293,1.148212,1.139197
200133,False,1.854068,1.763642,1.469656,1.34551
200194,False,1.579901,1.279652,1.182276,1.17044
200231,False,1.074509,1.110362,1.148074,1.139403
200263,False,1.075128,1.110156,1.148074,1.139472
200267,False,2.18377,2.143925,2.110067,2.058523
200268,False,2.144544,2.041387,1.971263,1.971538
200275,False,1.936717,1.666128,1.506129,1.633991
200333,False,2.690538,2.615665,2.521661,2.526341
200353,False,1.285295,1.111395,1.1489,1.140367
200420,False,2.025491,1.85799,1.697647,1.803281
200430,False,1.139954,1.110293,1.148487,1.139472
200530,False,1.937474,1.5404,1.222396,1.350878
200732,False,1.821586,1.562077,1.153235,1.161012
200756,False,2.082127,1.941465,1.822618,1.909259
200899,False,1.872992,1.574602,1.216753,1.340142
200945,False,1.714369,0.001445,0.0,0.0
200978,False,1.208495,1.110913,1.148212,1.139678
200999,True,1.074577,1.110087,1.148143,1.139403
201186,False,2.120389,2.040149,2.029413,2.027074
201238,False,2.328079,2.174686,2.101534,2.108759
201271,False,2.192578,2.075108,2.036157,2.077241
201285,False,1.074577,1.110087,1.148143,1.139265
201358,False,1.074509,1.110362,1.148143,1.139472
