Timestamp,Channel1,Channel2,Channel3,Channel4
174326621,3.0429E+0,2.9480E+0,2.5637E+0,2.6764E+0,
174326659,2.2608E+0,2.1009E+0,1.9566E+0,2.1030E+0,
174326716,1.0497E+0,1.0846E+0,1.1196E+0,1.1112E+0,
174326724,3.5370E+0,3.5319E+0,3.4408E+0,3.4178E+0,
174326747,1.0494E+0,1.0845E+0,1.1197E+0,1.1113E+0,
174326751,2.1686E+0,2.2058E+0,2.0705E+0,1.9489E+0,
174326755,1.0554E+0,1.0845E+0,1.1198E+0,1.1110E+0,
174326764,2.6462E+0,2.6340E+0,2.5500E+0,2.5518E+0,
174326768,1.0493E+0,1.0844E+0,1.1197E+0,1.1111E+0,
174326793,1.6735E+0,1.1392E+0,1.1215E+0,1.2983E+0,
174326838,2.7635E+0,2.5245E+0,2.2741E+0,2.3928E+0,
174326880,2.0601E+0,1.7123E+0,1.1875E+0,1.7537E+0,
174326892,1.0507E+0,1.0850E+0,1.1226E+0,1.1111E+0,
174326937,2.1372E+0,2.0830E+0,1.6718E+0,1.6624E+0,
174326939,1.9316E+0,1.6680E+0,1.7330E+0,1.8577E+0,
174326949,2.2826E+0,2.3237E+0,2.1459E+0,2.0299E+0,
174326972,2.2310E+0,2.1868E+0,2.2825E+0,2.2557E+0,
174326976,1.0493E+0,1.0842E+0,1.1196E+0,1.1112E+0,
174326986,1.5226E+0,1.4651E+0,1.6913E+0,1.3057E+0,
174326999,1.0493E+0,1.0846E+0,1.1197E+0,1.1110E+0,
174327039,1.0494E+0,1.0846E+0,1.1196E+0,1.1113E+0,
174327090,2.6371E+0,2.5138E+0,2.4114E+0,2.4985E+0,
174327125,1.1424E+0,1.0846E+0,1.1197E+0,1.1112E+0,
174327127,2.1071E+0,2.0489E+0,2.0879E+0,2.0762E+0,
174327131,1.0492E+0,1.0844E+0,1.1196E+0,1.1111E+0,
174327133,2.3615E+0,2.3379E+0,2.3624E+0,2.3496E+0,
174327144,1.0494E+0,1.0846E+0,1.1195E+0,1.1111E+0,
174327186,2.2367E+0,2.2020E+0,1.9870E+0,1.9687E+0,
174327200,1.0493E+0,1.0844E+0,1.1199E+0,1.1111E+0,
174327217,2.5654E+0,2.6023E+0,2.4581E+0,2.3987E+0,
174327235,2.7552E+0,2.7266E+0,2.3807E+0,2.3841E+0,
174327253,3.2521E+0,3.1577E+0,2.9885E+0,3.1176E+0,
174327261,1.6897E+0,1.2742E+0,1.1200E+0,1.1116E+0,
174327281,2.3146E+0,2.3473E+0,2.2681E+0,2.1904E+0,
174327297,1.0493E+0,1.0846E+0,1.1197E+0,1.1110E+0,
174327312,2.0918E+0,1.8664E+0,1.8218E+0,1.9825E+0,
174327314,1.0503E+0,1.0889E+0,1.1242E+0,1.1153E+0,
174327325,1.0493E+0,1.0843E+0,1.1197E+0,1.1110E+0,
174327330,2.7293E+0,2.5591E+0,2.3630E+0,2.5087E+0,
174327345,3.5365E+0,3.5317E+0,3.4501E+0,3.4189E+0,
174327389,2.7341E+0,2.7709E+0,2.6378E+0,2.6113E+0,
174327445,3.5275E+0,3.3226E+0,3.1401E+0,3.4088E+0,
174327453,3.4163E+0,3.3836E+0,2.9251E+0,2.9996E+0,
174327457,2.8089E+0,2.5796E+0,2.5281E+0,2.7208E+0,
174327492,2.8331E+0,2.8850E+0,2.7458E+0,2.7119E+0,
174327514,1.0833E+0,1.0957E+0,1.1198E+0,1.1109E+0,
174327600,2.1522E+0,2.1709E+0,2.1315E+0,2.0631E+0,
174327600,2.4776E+0,2.4503E+0,2.5733E+0,2.5200E+0,
174327610,2.8742E+0,3.0148E+0,2.8711E+0,2.7571E+0,
174327631,1.8794E+0,1.7443E+0,1.1435E+0,1.1676E+0,
174327690,2.5465E+0,2.3927E+0,2.3593E+0,2.4600E+0,
174327709,2.4222E+0,2.2259E+0,2.4222E+0,2.4469E+0,
174327725,2.3164E+0,2.3284E+0,2.2397E+0,2.1849E+0,
