TimeStamp,Channel1,Channel2,Channel3,Channel4
218788363.000,18050.000,30340.000,26752.000,5755.000
218788363.000,29556.000,24684.000,24404.000,36192.000
218788363.000,35481.000,63372.000,34965.000,24474.000
218788363.000,65088.000,28221.000,35903.000,34367.000
218788364.000,1083.000,34109.000,34367.000,33855.000
218788364.000,1663.000,1653.000,55146.000,39028.000
218788364.000,3643.000,34621.000,33343.000,34623.000
218788364.000,5227.000,48222.000,19263.000,35391.000
218788364.000,38006.000,64117.000,32370.000,61041.000
218788364.000,39227.000,35645.000,33599.000,34111.000
218788364.000,48197.000,35389.000,34879.000,34623.000
218788364.000,51144.000,42696.000,18883.000,44994.000
218788364.000,52563.000,6977.000,59464.000,13391.000
218788364.000,53143.000,1689.000,28058.000,54424.000
218788365.000,9416.000,22728.000,1731.000,22209.000
218788365.000,11464.000,9927.000,36034.000,8641.000
218788365.000,19881.000,46509.000,51609.000,45204.000
218788365.000,25227.000,8331.000,27785.000,29319.000
218788365.000,26740.000,19825.000,19553.000,24673.000
218788365.000,29243.000,58429.000,33855.000,33855.000
218788365.000,30628.000,24218.000,56458.000,48531.000
218788365.000,32132.000,41598.000,24441.000,40573.000
218788365.000,36018.000,23227.000,1963.000,58533.000
218788365.000,43616.000,11837.000,49983.000,35399.000
218788365.000,49345.000,31936.000,18883.000,6337.000
218788365.000,54075.000,35901.000,33599.000,34367.000
218788366.000,315.000,33597.000,33599.000,34367.000
218788366.000,432.000,9403.000,48045.000,8614.000
218788366.000,2136.000,26685.000,40767.000,34623.000
218788366.000,19597.000,4745.000,53380.000,46213.000
218788366.000,21307.000,34109.000,33343.000,34623.000
218788366.000,22151.000,22656.000,54399.000,39042.000
218788366.000,26274.000,30359.000,63141.000,58792.000
218788366.000,32059.000,34109.000,34879.000,35391.000
218788366.000,56008.000,16840.000,4547.000,11960.000
218788367.000,8338.000,53897.000,63613.000,59780.000
218788367.000,10917.000,2984.000,8351.000,61597.000
218788367.000,21166.000,64191.000,24506.000,9133.000
218788367.000,43687.000,21928.000,175.000,39856.000
218788367.000,63688.000,32712.000,8131.000,30657.000
218788367.000,63942.000,49095.000,12483.000,15553.000
218788367.000,64200.000,1223.000,47299.000,4289.000
218788368.000,12603.000,35133.000,34111.000,35647.000
218788368.000,27707.000,34365.000,34111.000,34367.000
218788368.000,29640.000,9927.000,54722.000,59841.000
218788368.000,35488.000,30882.000,27798.000,25236.000
218788368.000,38971.000,34877.000,33855.000,34623.000
218788368.000,39592.000,23725.000,64418.000,57758.000
218788368.000,53141.000,25226.000,28028.000,50818.000
218788368.000,65339.000,34109.000,34111.000,35135.000
218788369.000,1179.000,60569.000,62866.000,30868.000
218788369.000,5991.000,22105.000,47679.000,40001.000
218788369.000,11632.000,62041.000,13119.000,35136.000
218788369.000,13499.000,50115.000,41897.000,23459.000
218788369.000,52668.000,956.000,12215.000,62395.000
218788369.000,55165.000,32371.000,41579.000,8308.000
218788369.000,56776.000,2503.000,52152.000,52662.000
218788370.000,5240.000,16234.000,39746.000,46938.000
218788370.000,6761.000,32614.000,6988.000,11588.000
218788370.000,10608.000,61796.000,33605.000,61528.000
218788370.000,20680.000,17607.000,63936.000,38589.000
218788370.000,29574.000,59532.000,21130.000,17539.000
218788370.000,30408.000,14279.000,52931.000,10432.000
218788370.000,51850.000,10636.000,7296.000,59515.000
218788370.000,52027.000,36930.000,17475.000,24387.000
218788370.000,52040.000,44129.000,15431.000,57923.000
218788370.000,53925.000,26282.000,11423.000,22427.000
218788370.000,60291.000,28537.000,38261.000,64125.000
218788371.000,5235.000,29283.000,47690.000,36450.000
218788371.000,9672.000,17352.000,4547.000,21697.000
218788371.000,17246.000,19289.000,44383.000,43356.000
218788371.000,18088.000,52662.000,15280.000,3338.000
218788371.000,20357.000,28294.000,38015.000,19066.000
218788371.000,26790.000,412.000,19354.000,11938.000
218788371.000,30577.000,52847.000,25200.000,61038.000
218788371.000,33968.000,19123.000,32160.000,32926.000
218788371.000,49806.000,60547.000,26242.000,34186.000
218788371.000,51515.000,33597.000,34367.000,34111.000
218788371.000,51858.000,2956.000,19085.000,65171.000
218788371.000,62578.000,25191.000,35903.000,39496.000
218788372.000,1188.000,43946.000,4505.000,29075.000
218788372.000,1920.000,25727.000,19322.000,42873.000
218788372.000,3645.000,53053.000,33343.000,34367.000
218788372.000,13371.000,34109.000,34111.000,34367.000
218788372.000,15419.000,34109.000,34111.000,34879.000
218788372.000,19304.000,64873.000,9070.000,62298.000
218788372.000,25544.000,31176.000,6595.000,22209.000
218788372.000,39797.000,8304.000,47221.000,34421.000
218788372.000,46732.000,2182.000,12929.000,38532.000
218788372.000,46952.000,15430.000,53568.000,58432.000
218788373.000,9160.000,29631.000,23491.000,28865.000
218788373.000,13256.000,12743.000,56515.000,11969.000
218788373.000,17579.000,48560.000,31159.000,52660.000
218788373.000,20327.000,39013.000,46424.000,44367.000
218788373.000,37815.000,4273.000,65443.000,6314.000
218788373.000,38459.000,34365.000,34111.000,35647.000
218788373.000,38781.000,13687.000,28780.000,19826.000
218788373.000,38855.000,53446.000,1985.000,61888.000
